Manufacturer,Shape,Model,Resolution,PTZ,Infrared,Varifocal,SD Card Storage,Onvif,PSIA,Audio In,Audio out,UPnP,JPEG URL,MPEG4 URL,H264 URL,MJPEG URL,Page Reference,Default User,Default Password,Discontinued
Hikvision,dome,DS-2CD4312FWD-I(Z)(H)(S),1280x960,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=9517,admin,12345,No
Hikvision,dome,DS-2CD4324F-I(Z)(H)(S),1920x1080,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/products_show.asp?id=9518,admin,12345,No
Hikvision,box,DS-2CD883F-E(W),2560x1920,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=508,admin,12345,No
Hikvision,box,DS-2CD854F-E(W),2048x1536,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=509,admin,12345,No
Hikvision,box,DS-2CD855F-E,1920x1080,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=6111,admin,12345,No
Hikvision,box,DS-2CD853F-E(W),1600x1200,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=507,admin,12345,No
Hikvision,box,DS-2CD864FWD-E,1280x960,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=5016,admin,12345,No
Hikvision,box,DS-2CD864F-E(W),1280x960,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=6438,admin,12345,No
Hikvision,box,DS-2CD893PF(NF)WD-E(W),PAL:704x576;NTSC:704x480,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=482,admin,12345,No
Hikvision,box,DS-2CD893PF(NF)-E(W),PAL:704x576;NTSC:704x480,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=483,admin,12345,No
Hikvision,box,DS-2CD833F-E(W),640x480,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=477,admin,12345,No
Hikvision,dome,DS-2CD783F-E(I)(Z),2560x1920,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=5377,admin,12345,No
Hikvision,dome,DS-2CD754F-E(I)(Z),2048x1536,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=510,admin,12345,No
Hikvision,dome,DS-2CD754FWD-E(I)(Z),2048x1536,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=4838,admin,12345,No
Hikvision,dome,DS-2CD755F-E(I)(Z),1920x1080,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=7354,admin,12345,No
Hikvision,dome,DS-2CD753F-E(I)(Z,1600x1200,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=505,admin,12345,No
Hikvision,dome,DS-2CD764FWD-E(I)(Z),1280x960,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=5655,admin,12345,No
Hikvision,dome,DS-2CD764F-E(I)(Z),1280x960,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/products_show.asp?id=6439,admin,12345,No
Hikvision,dome,DS-2CD793P(N)FWD-E(I)(Z),PAL:704x576;NTSC:704x480,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=496,admin,12345,No
Hikvision,dome,DS-2CD793P(N)F-E(I)(Z),PAL:704x576;NTSC:704x480,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=493,admin,12345,No
Hikvision,dome,DS-2CD733F-E(I)(Z),640x480,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=480,admin,12345,No
Hikvision,dome,DS-2CD2712F-I(S),1280x960,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=8723,admin,12345,No
Hikvision,dome,DS-2CD2732F-I(S),2048x1536,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=8724,admin,12345,No
Hikvision,dome,DS-2CD2112-I,1280x960,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,,,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=7327,admin,12345,No
Hikvision,dome,DS-2CD2132-I,2048x1536,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,,,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=7330,admin,12345,No
Hikvision,dome,DS-2CD2332-I,2048x1536,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,,,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=7872,admin,12345,No
Hikvision,dome,DS-2CD2312-I,1280x960,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,,,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=7935,admin,12345,No
Hikvision,dome,DS-2CD7254F-E(I)Z(H),2048x1536,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=6897,admin,12345,No
Hikvision,dome,DS-2CD7283F-E(I)Z(H),2560x1920,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=6891,admin,12345,No
Hikvision,dome,DS-2CD7254FWD-E(I)Z(H),2048x1536,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=6892,admin,12345,No
Hikvision,dome,DS-2CD7253F-E(I)Z(H),1600x1200,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=7274,admin,12345,No
Hikvision,dome,DS-2CD7255F-E(I)Z(H),1920x1080,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=6898,admin,12345,No
Hikvision,dome,DS-2CD7264FWD-E(I)Z(H),1280x960,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=6913,admin,12345,No
Hikvision,dome,DS-2CD7233F-E(I)Z(H),640x480,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=6914,admin,12345,No
Hikvision,dome,DS-2CD2532-I(S)(W),2048x1536,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=9446,admin,12345,No
Hikvision,dome,DS-2CD2512-I(S)(W),1280x960,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=9448,admin,12345,No
Hikvision,dome,DS-2CD7153-E,1600x1200,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=506,admin,12345,No
Hikvision,dome,DS-2CD7164-E,1280x960,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=5561,admin,12345,No
Hikvision,bullet,DS-2CD2232-I5,2048x1536,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,,,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=7741,admin,12345,No
Hikvision,bullet,DS-2CD2212-I5,1280x960,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,,,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=7742,admin,12345,No
Hikvision,bullet,DS-2CD2632F-I(S),2048x1536,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=8722,admin,12345,No
Hikvision,bullet,DS-2CD2612F-I(S),1280x960,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=8721,admin,12345,No
Hikvision,bullet,DS-2CD2032-I,2048x1536,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,,,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=7326,admin,12345,No
Hikvision,bullet,DS-2CD2012-I,1280x960,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,,,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=6968,admin,12345,No
Hikvision,bullet,DS-2CD864-EI3,1280x960,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,,,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=6670,admin,12345,No
Hikvision,bullet,DS-2CD8253F-EI(Z),1600x1200,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=4839,admin,12345,No
Hikvision,bullet,DS-2CD855-EI3(EI5),1920x1080,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,,,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=7361,admin,12345,No
Hikvision,bullet,DS-2CD8254F-EI(Z),2048x1536,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=4840,admin,12345,No
Hikvision,bullet,DS-2CD8254FWD-EI(Z),2048x1536,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=9428,admin,12345,No
Hikvision,bullet,DS-2CD8255F-EI(Z),1920x1080,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=9429,admin,12345,No
Hikvision,bullet,DS-2CD8264F-EI(Z),1280x960,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=6440,admin,12345,No
Hikvision,bullet,DS-2CD8264FWD-EI(Z),1280x960,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=5319,admin,12345,No
Hikvision,bullet,DS-2CD8233F-EI(Z),640x480,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=5384,admin,12345,No
Hikvision,box,DS-2CD2432F-I(W),2048x1536,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=9441,admin,12345,No
Hikvision,box,DS-2CD2412F-I(W),1280x960,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=9445,admin,12345,No
Hikvision,box,DS-2CD8464F-EIW,1280x960,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=7362,admin,12345,No
Hikvision,box,DS-2CD6412FWD,1280x960,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=9620,admin,12345,No
Hikvision,box,DS-2CD2415F-IW(R),1280x960,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=9611,admin,12345,No
Hikvision,dome,DS-2CD2515-IWS(R),1280x960,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=9613,admin,12345,No
Hikvision,dome,DS-2CD2715F-IS(R),1280x960,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=9615,admin,12345,No
Hikvision,bullet,DS-2CD2615-IS(R),1280x960,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=9614,admin,12345,No
Hikvision,dome,DS-2CD2115-I,1280x960,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=9165,admin,12345,No
Hikvision,dome,DS-2CD2135-I,2048x1536,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=9166,admin,12345,No
Hikvision,bullet,DS-2CD2035-I,2048x1536,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=9164,admin,12345,No
Hikvision,bullet,DS-2CD2015-I,1280x960,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=9163,admin,12345,No
Hikvision,box,DS-2CD893PF-E version no.1,704x576,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=6696,admin,12345,No
Hikvision,box,DS-2CD8153F-E [DISCONTINUED],1600x1200,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=410,admin,12345,Yes
Hikvision,box,DS-2CD876BF(MF) [DISCONTINUED],1600x1200,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=90,admin,12345,Yes
Hikvision,box,DS-2CD863P(N)F-E(W) [DISCONTINUED],1280x960,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=500,admin,12345,Yes
Hikvision,box,DS-2CD802/812P(N)F-E(W) [DISCONTINUED],PAL:704x576;NTSC:704x480,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=481,admin,12345,Yes
Hikvision,bullet,DS-2CD802/812/892P(N)-IR5 [DISCONTINUED],PAL:704x576;NTSC:704x480,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=502,admin,12345,Yes
Hikvision,bullet,DS-2CD802/812/892P(N)-IR3 [DISCONTINUED],PAL:704x576;NTSC:704x480,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=499,admin,12345,Yes
Hikvision,bullet,DS-2CD802/812/892P(N)-IR1 [DISCONTINUED],PAL:704x576;NTSC:704x480,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=497,admin,12345,Yes
Hikvision,dome,DS-2CD7353F-E(I) [DISCONTINUED],1600x1200,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=7364,admin,12345,Yes
Hikvision,dome,DS-2CD7133-E [DISCONTINUED],640x480,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=504,admin,12345,Yes
Hikvision,dome,DS-2CD763P(N)F-E(I)(Z [DISCONTINUED],1280x960,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=503,admin,12345,Yes
Hikvision,box,DS-2CD8133F-E [DISCONTINUED],640x480,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=412,admin,12345,Yes
Hikvision,dome,DS-2CD752MF-E [DISCONTINUED],1600x1200,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=28,admin,12345,Yes
Hikvision,box,DS-2CD832F(-E) [DISCONTINUED],704x576,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=27,admin,12345,Yes
Hikvision,dome,DS-2CD702/712P(N)F-E [DISCONTINUED],PAL:704x576;NTSC:704x480,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=1922,admin,12345,Yes
Hikvision,dome,DS-2CD752MF-(I)FB(H) [DISCONTINUED],1600x1200,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=494,admin,12345,Yes
Hikvision,dome,DS-2CD762MF-(I)FB(H) [DISCONTINUED],1280x960,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=484,admin,12345,Yes
Hikvision,dome,DS-2CD732F(-E) [DISCONTINUED],704x576,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Streaming/Channels/1/picture,None,h264/ch1/main/av_stream,None,http://www.hikvision.com/en/Products_show.asp?id=30,admin,12345,Yes
