Shape,Model,Resolution,MegaPixel,FrameRate,PTZ,Infrared,Varifocal,SD Card Storage,Wifi,Onvif,Audio IN,Audio OUT,PoE,Upnp,JPEG URL,H264 URL,MJPEG URL,AUDIO URL,Default user,Default password,Discontinued,Manufacturer
Box,FI8918W,640X480,VGA,15,NO,YES,NO,NO,YES,NO,YES,YES,YES,YES,snapshot.cgi,None,videostream.cgi,Unknown,admin,<blank>,No,Foscam
Box,FI8916W,640X480,VGA,15,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES,snapshot.cgi,None,videostream.cgi,Unknown,admin,<blank>,No,Foscam
Bullet,FI8906W,640X480,VGA,15,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,snapshot.cgi,None,videostream.cgi,Unknown,admin,<blank>,No,Foscam
Bullet,FI8905W,640X480,VGA,15,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,snapshot.cgi,None,videostream.cgi,Unknown,admin,<blank>,No,Foscam
Bullet,FI8905E,640X480,VGA,15,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,snapshot.cgi,None,videostream.cgi,Unknown,admin,<blank>,No,Foscam
Bullet,FI8904W,640X480,VGA,15,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,snapshot.cgi,None,videostream.cgi,Unknown,admin,<blank>,No,Foscam
Box,FI8909W,640X480,VGA,15,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES,snapshot.cgi,None,videostream.cgi,Unknown,admin,<blank>,No,Foscam
Box,FI8907W,640X480,VGA,15,NO,YES,NO,NO,YES,NO,YES,YES,YES,YES,snapshot.cgi,None,videostream.cgi,Unknown,admin,<blank>,No,Foscam
Bullet,FI9801W,1280X720,1,60,NO,YES,NO,NO,YES,NO,YES,YES,YES,YES,cgi-bin/CGIProxy.fcgi?cmd=snapPicture2,videoMain,cgi-bin/CGIStream.cgi?cmd=GetMJStream,audio,admin,<blank>,Yes,Foscam
Bullet,FI9802W,1280X720,1,30,NO,YES,NO,NO,YES,NO,YES,YES,YES,YES,cgi-bin/CGIProxy.fcgi?cmd=snapPicture2,videoMain,cgi-bin/CGIStream.cgi?cmd=GetMJStream,audio,admin,<blank>,Yes,Foscam
Box,FI8601W(S),729X576,,30,NO,YES,NO,NO,YES,NO,YES,YES,NO,YES,cgi-bin/CGIProxy.fcgi?cmd=snapPicture2,videoMain,cgi-bin/CGIStream.cgi?cmd=GetMJStream,audio,admin,<blank>,Yes,Foscam
Bullet,FI8602W(S),729X576,,30,NO,YES,NO,NO,YES,NO,YES,YES,NO,YES,cgi-bin/CGIProxy.fcgi?cmd=snapPicture2,videoMain,cgi-bin/CGIStream.cgi?cmd=GetMJStream,audio,admin,<blank>,Yes,Foscam
Box,FI8608W(B),640X480,VGA,15,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,snapshot.cgi,None,videostream.cgi,Unknown,admin,<blank>,Yes,Foscam
Dome,FI9851P,1280X720,1,30,NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,cgi-bin/CGIProxy.fcgi?cmd=snapPicture2,videoMain,cgi-bin/CGIStream.cgi?cmd=GetMJStream,audio,admin,<blank>,No,Foscam
Dome,FI9828W,1280X960,1.3,30,NO,YES,NO,NO,YES,NO,YES,YES,NO,YES,cgi-bin/CGIProxy.fcgi?cmd=snapPicture2,videoMain,cgi-bin/CGIStream.cgi?cmd=GetMJStream,audio,admin,<blank>,No,Foscam
Dome,FI9819W,640X480,VGA,15,NO,YES,NO,NO,YES,NO,NO,NO,YES,YES,snapshot.cgi,None,videostream.cgi,Unknown,admin,<blank>,No,Foscam
Dome,FI8620,729X576,,30,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,cgi-bin/CGIProxy.fcgi?cmd=snapPicture2,videoMain,cgi-bin/CGIStream.cgi?cmd=GetMJStream,audio,admin,<blank>,No,Foscam
