Manufacturer,Shape,Model,Resolution,MegaPixel,FrameRate,PTZ,Infrared,Varifocal,SD Card Storage,Wifi,Onvif,Audio In,Audio Out,PoE,UPnP,JPEG URL,MPEG4 URL,H264 URL,MJPEG URL,User Manual,Data sheet,Page Reference,Default Username,Default Password,Discontinued
Zavio,Dome,D5113,1280 x 800,1,30FPS,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,jpg/image.jpg,Unknown,video.pro[profile_number],video.mjpg,http://www.zavio.com/downloads/product/59/D7111&D5113_011417.pdf,http://www.zavio.com/downloads/product/59/datasheet_D5113.pdf,http://www.zavio.com/product.php?id=59,admin,admin,No
Zavio,Dome,D5210,1920 x 1080,2,30FPS,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,jpg/image.jpg,Unknown,video.pro[profile_number],video.mjpg,http://www.zavio.com/downloads/product/61/D7210&D5210_140417.pdf,http://www.zavio.com/downloads/product/61/datasheet_D5210.pdf,http://www.zavio.com/product.php?id=61,admin,admin,No
Zavio,Dome,D7111,1280 x 800,1,30FPS,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,jpg/image.jpg,Unknown,video.pro[profile_number],video.mjpg,http://www.zavio.com/downloads/product/60/D7111&D5113_011417.pdf,http://www.zavio.com/downloads/product/60/datasheet_D7111.pdf,http://www.zavio.com/product.php?id=60,admin,admin,No
Zavio,Dome,D7210,1920x1080,2,30FPS,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,jpg/image.jpg,Unknown,video.pro[profile_number],video.mjpg,http://www.zavio.com/downloads/product/62/D7210&D5210_140417.pdf,http://www.zavio.com/downloads/product/62/datasheet_D7210.pdf,http://www.zavio.com/product.php?id=62,admin,admin,No
Zavio,Dome,D7320,2048 x 1536,3,20FPS,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,jpg/image.jpg,Unknown,video.pro[profile_number],video.mjpg,http://www.zavio.com/downloads/product/80/ZavioUserManual_D7320_D7510_20140415.pdf,http://www.zavio.com/downloads/product/80/datasheet_D7320.pdf,http://www.zavio.com/product.php?id=80,n/a,n/a,No
Zavio,Dome,D7510,2560 x 1920,5,15FPS,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,jpg/image.jpg,Unknown,video.pro[profile_number],video.mjpg,http://www.zavio.com/downloads/product/87/ZavioUserManual_D7320_D7510_20140415.pdf,http://www.zavio.com/downloads/product/87/datasheet_D7510.pdf,http://www.zavio.com/product.php?id=87,n/a,n/a,No
Zavio,Box,F1100,1280 x 720,1,10FPS,No,No,No,No,Yes,No,Yes,No,No,Yes,jpg/image.jpg,Unknown,video.pro[profile_number],video.mjpg,http://www.zavio.com/downloads/product/56/F1100%20F1105%20Manual%202012%203%201.pdf,http://www.zavio.com/downloads/product/56/datasheet_F1100.pdf,http://zavio.com/product.php?id=56,admin,admin,No
Zavio,Box,F1105,1280 x 720,1,10FPS,No,No,No,No,Yes,No,Yes,No,No,Yes,jpg/image.jpg,Unknown,video.pro[profile_number],video.mjpg,http://www.zavio.com/downloads/product/58/F1100%20F1105%20Manual%202012%203%201.pdf,http://www.zavio.com/downloads/product/58/datasheet_F1100.pdf,http://zavio.com/product.php?id=58,admin,admin,No
Zavio,Box,F3000,640 x 480,VGA,30FPS,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,jpg/image.jpg,Unknown,video.pro[profile_number],video.mjpg,http://www.zavio.com/downloads/product/67/F3000%20&%20F3005%20User%20Manual_140417.pdf,http://www.zavio.com/downloads/product/67/datasheet_F3000_F3005.pdf,http://zavio.com/product.php?id=67,admin,admin,No
Zavio,Box,F3005,640 x 480,VGA,30FPS,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,jpg/image.jpg,Unknown,video.pro[profile_number],video.mjpg,http://www.zavio.com/downloads/product/67/F3000%20&%20F3005%20User%20Manual_140417.pdf,http://www.zavio.com/downloads/product/67/datasheet_F3000_F3005.pdf,http://zavio.com/product.php?id=68,admin,admin,No
Zavio,Box,F3102,1280 x 800,1,30FPS,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,jpg/image.jpg,Unknown,video.pro[profile_number],video.mjpg,http://www.zavio.com/downloads/product/65/F3102%20&%20F3107%20&%20F3110%20&%20F3115%20User%20Manual_20140417.pdf,http://www.zavio.com/downloads/product/65/datasheet_F3102_F3107.pdf,http://zavio.com/product.php?id=65,admin,admin,No
Zavio,Box,F3107,1280 x 800,1,30FPS,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,jpg/image.jpg,Unknown,video.pro[profile_number],video.mjpg,http://www.zavio.com/downloads/product/65/F3102%20&%20F3107%20&%20F3110%20&%20F3115%20User%20Manual_20140417.pdf,http://www.zavio.com/downloads/product/65/datasheet_F3102_F3107.pdf,http://zavio.com/product.php?id=66,admin,admin,No
Zavio,Box,F3110,1280 x 800,1,30FPS,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,jpg/image.jpg,Unknown,video.pro[profile_number],video.mjpg,http://www.zavio.com/downloads/product/65/F3102%20&%20F3107%20&%20F3110%20&%20F3115%20User%20Manual_20140417.pdf,http://www.zavio.com/downloads/product/63/datasheet_F3110_F3115.pdf,http://zavio.com/product.php?id=63,admin,admin,No
Zavio,Box,F3115,1280 x 800,1,30FPS,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,jpg/image.jpg,Unknown,video.pro[profile_number],video.mjpg,http://www.zavio.com/downloads/product/65/F3102%20&%20F3107%20&%20F3110%20&%20F3115%20User%20Manual_20140417.pdf,http://www.zavio.com/downloads/product/63/datasheet_F3110_F3115.pdf,http://zavio.com/product.php?id=64,admin,admin,No
Zavio,Box,F3201,1920 x 1080,2,30FPS,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,jpg/image.jpg,Unknown,video.pro[profile_number],video.mjpg,http://www.zavio.com/downloads/product/28/F3201%20User%20Manual_Zavio.pdf,http://www.zavio.com/downloads/product/28/datasheet_F3201.pdf,http://zavio.com/product.php?id=28,admin,admin,No
Zavio,Box,F3206,1920 x 1080,2,30FPS,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,jpg/image.jpg,Unknown,video.pro[profile_number],video.mjpg,http://www.zavio.com/downloads/product/28/F3201%20User%20Manual_Zavio.pdf,http://www.zavio.com/downloads/product/29/datasheet_F3206.pdf,http://zavio.com/product.php?id=29,admin,admin,No
Zavio,Box,F3210,1921 x 1080,2,30FPS,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,jpg/image.jpg,Unknown,video.pro[profile_number],video.mjpg,http://www.zavio.com/downloads/product/70/ZavioUser%20Manual_F3210_F3215_20140415.pdf,http://www.zavio.com/downloads/product/70/datasheet_F3210.pdf,http://zavio.com/product.php?id=70,n/a,n/a,No
Zavio,Box,F3215,1922 x 1080,2,30FPS,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,jpg/image.jpg,Unknown,video.pro[profile_number],video.mjpg,http://www.zavio.com/downloads/product/84/ZavioUser%20Manual_F3210_F3215_20140415.pdf,http://www.zavio.com/downloads/product/84/datasheet_F3210_F3215.pdf,http://zavio.com/product.php?id=84,n/a,n/a,No
Zavio,Box,F7210,1920 x 1080,2,30FPS,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,jpg/image.jpg,Unknown,video.pro[profile_number],video.mjpg,http://www.zavio.com/downloads/product/51/F7210%20User%20Manual_140417.pdf,http://www.zavio.com/downloads/product/51/datasheet_F7210.pdf,http://www.zavio.com/product.php?id=51,admin,admin,No
Zavio,Dome,P5111,1280 x 800,1,30FPS,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,jpg/image.jpg,Unknown,video.pro[profile_number],video.mjpg,http://www.zavio.com/downloads/product/72/P5111&P5116%20User%20Manual_140417.pdf,http://www.zavio.com/downloads/product/72/datasheet_P5111_P5116.pdf,http://www.zavio.com/product.php?id=72,admin,admin,No
Zavio,Dome,P5116,1280 x 800,1,30FPS,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,jpg/image.jpg,Unknown,video.pro[profile_number],video.mjpg,http://www.zavio.com/downloads/product/72/P5111&P5116%20User%20Manual_140417.pdf,http://www.zavio.com/downloads/product/72/datasheet_P5111_P5116.pdf,http://www.zavio.com/product.php?id=73,admin,admin,No
Zavio,Dome,P5210,1920 x 1080,2,30FPS,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,jpg/image.jpg,Unknown,video.pro[profile_number],video.mjpg,n/a,http://www.zavio.com/downloads/product/74/P5210%20datasheet.pdf,http://www.zavio.com/product.php?id=74,admin,admin,No
Zavio,Dome,P6210,1920 x 1080,2,30FPS,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,jpg/image.jpg,Unknown,video.pro[profile_number],video.mjpg,http://www.zavio.com/downloads/product/85/Zavio%20User%20Manual_P6210_20140415.pdf,http://www.zavio.com/downloads/product/85/datasheet_P6210.pdf,http://www.zavio.com/product.php?id=85,n/a,n/a,No
