Manufacturer,Shape,Model,Resolution,MegaPixel,FrameRate,PTZ,Infrared,Varifocal,SD Card Storage,Wifi,Onvif,PSIA,Audio In,Audio Out,PoE,UPnP,JPEG URL,MPEG4 URL,H264 URL,MJPEG URL,AUDIO URL,User Manual,Data sheet,Page Reference,Default Username,Default Password,Discontinued,Availability
ACTi,Box,B220,Not Specified,8,Not Specified,Maybe,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B220,admin,123456,No,19.12.2014
ACTi,Box,B221,Not Specified,8,Not Specified,Maybe,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B221,admin,123456,No,19.12.2014
ACTi,Box,B222,Not Specified,12,Not Specified,Maybe,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B222,admin,123456,No,09.03.2015
ACTi,Box,B24,1280x960,1.3,30FPS,Maybe,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B24,admin,123456,No,Now
ACTi,Box,B25,1920x1080,2,30FPS,Maybe,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B25,admin,123456,No,Now
ACTi,Box,B27,2048x1536,3,20FPS,Maybe,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B27,admin,123456,No,Now
ACTi,Box,B28,2592x1944,5,15FPS,Maybe,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B28,admin,123456,No,17.10.2014
ACTi,Bullet,B41,2592x1944,5,15FPS,Maybe,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B41,admin,123456,No,Now
ACTi,Bullet,B410,3648x2736,10,7FPS,Maybe,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B410,admin,123456,No,23.09.2014
ACTi,Bullet,B411,2048x1536,3,20FPS,Maybe,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B411,admin,123456,No,17.10.2014
ACTi,Bullet,B413,3072x2048,6,30FPS,Maybe,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B413,admin,123456,No,20.04.2015
ACTi,Bullet,B414,4000x3000,12,15FPS,Maybe,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B414,admin,123456,No,20.04.2015
ACTi,Bullet,B415,1920x1080,2,60FPS,Maybe,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B415,admin,123456,No,17.10.2014
ACTi,Bullet,B416,1920x1080,2,60FPS,Maybe,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B416,admin,123456,No,17.10.2014
ACTi,Bullet,B417,2048x1536,3,20FPS,Maybe,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B417,admin,123456,No,17.10.2014
ACTi,Bullet,B418,2592x1944,5,15FPS,Maybe,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B418,admin,123456,No,17.10.2014
ACTi,Bullet,B420,Not Specified,8,Not Specified,Maybe,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B420,admin,123456,No,19.12.2014
ACTi,Bullet,B421,Not Specified,8,Not Specified,Maybe,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B421,admin,123456,No,20.12.2014
ACTi,Bullet,B422,Not Specified,12,Not Specified,Maybe,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B422,admin,123456,No,09.03.2015
ACTi,Bullet,B44,1280x960,1.3,30FPS,Maybe,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B44,admin,123456,No,Now
ACTi,Bullet,B45,1920x1080,2,30FPS,Maybe,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B45,admin,123456,No,Now
ACTi,Bullet,B47,2048x1536,3,20FPS,Maybe,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B47,admin,123456,No,Now
ACTi,Bullet,B48,2592x1944,5,15FPS,Maybe,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B48,admin,123456,No,17.10.2014
ACTi,Dome,B51,2592x1944,5,15FPS,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B51,admin,123456,No,Now
ACTi,Dome,B52,3648x2736,10,7FPS,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B52,admin,123456,No,Now
ACTi,Dome,B53,2048x1536,3,20FPS,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B53,admin,123456,No,Now
ACTi,Dome,B54,2592x1944,5,15FPS,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B54,admin,123456,No,Now
ACTi,Dome,B55,3648x2736,10,7FPS,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B55,admin,123456,No,Now
ACTi,Dome,B56,2048x1536,3,20FPS,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B56,admin,123456,No,Now
ACTi,Dome,B59,3072x2048,6,30FPS,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B59,admin,123456,No,31.10.2014
ACTi,Dome,B61,2592x1944,5,15FPS,Maybe,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B61,admin,123456,No,Now
ACTi,Dome,B613,Not Specified,8,Not Specified,Maybe,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B613,admin,123456,No,19.12.2014
ACTi,Dome,B614,Not Specified,8,Not Specified,Maybe,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B614,admin,123456,No,19.12.2014
ACTi,Dome,B64,1280x960,1.3,30FPS,Maybe,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B64,admin,123456,No,Now
ACTi,Dome,B65,1920x1080,2,30FPS,Maybe,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B65,admin,123456,No,Now
ACTi,Dome,B67,2048x1536,3,20FPS,Maybe,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B67,admin,123456,No,Now
ACTi,Dome,B68,2592x1944,5,15FPS,Maybe,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B68,admin,123456,No,04.12.2014
ACTi,Dome,B69,2048x1536,3,20FPS,Maybe,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B69,admin,123456,No,04.12.2014
ACTi,Dome,B74,3072x2048,6,30FPS,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B74,admin,123456,No,31.10.2014
ACTi,Dome,B81,2592x1944,5,15FPS,Maybe,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B81,admin,123456,No,Now
ACTi,Dome,B811,3072x2048,6,30FPS,Maybe,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B811,admin,123456,No,31.10.2014
ACTi,Dome,B812,4000x3000,12,15FPS,Maybe,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B812,admin,123456,No,19.12.2014
ACTi,Dome,B813,Not Specified,8,Not Specified,Maybe,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&SNAPSHOT,,/,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM,cgi-bin/encoder?USER=[USERNAME]&PWD=[PASSWORD]&GET_STREAM=AUDIO,n/a,n/a,http://www.acti.com/corpweb/Product/ProductInfo.aspx?q=B813,admin,123456,No,19.12.2014
